t,x=0.001,x=0.5,x=1
41.7,-67.20370214515427,-73.8720604483509,-72.00905210062884
41.800000000000004,-67.30775661472812,-74.73449556831577,-74.48797086268688
41.900000000000006,-67.29860356875088,-75.1466175867101,-75.5157034177014
42.0,-67.20905738267291,-75.30652277859217,-75.8970894238384
42.1,-67.06500603373122,-75.33652915953077,-76.0219176482012
42.2,-66.88571483620312,-75.30131391111632,-76.04453769950459
42.300000000000004,-66.68430791609646,-75.2324802021284,-76.02385781759502
42.400000000000006,-66.46908344566249,-75.14505799555491,-75.98289934954813
42.5,-66.24503454364223,-75.04621444008842,-75.931025258183
42.6,-66.01509077288296,-74.9394296839701,-75.87219236872232
42.7,-65.78096252264136,-74.82643808554536,-75.80811846634312
42.800000000000004,-65.54366247312,-74.70813163637683,-75.73955208707989
42.900000000000006,-65.30381194623166,-74.58498747605914,-75.66680525651009
43.0,-65.06181318253068,-74.45727503390832,-75.5899872049743
